,cursor,nameWithOwner,url,stargazerCount,age,releases,cbo,dit,wmc,loc
0,Y3Vyc29yOjI5Nw==,rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,6087,2334,19,2.0,1.0,4.0,3385
0,Y3Vyc29yOjI5OA==,macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,6083,482,1,3.0,1.0,11.0,100941
0,Y3Vyc29yOjI5OQ==,rey5137/material,https://github.com/rey5137/material,6064,2294,10,3,1,4,27346
0,Y3Vyc29yOjMwMA==,google/physical-web,https://github.com/google/physical-web,6053,2364,17,3.0,1.0,3.0,7481
0,Y3Vyc29yOjMwMQ==,pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,6045,2452,0,3,1,3,1923
0,Y3Vyc29yOjMwMg==,uber/RIBs,https://github.com/uber/RIBs,6038,1265,3,3,1,2,8603
0,Y3Vyc29yOjMwMw==,gocd/gocd,https://github.com/gocd/gocd,6011,2655,67,5.0,1.0,4.0,291628
0,Y3Vyc29yOjMwNA==,markzhai/AndroidPerformanceMonitor,https://github.com/markzhai/AndroidPerformanceMonitor,5971,1890,0,3.0,1.0,4.0,2234
0,Y3Vyc29yOjMwNQ==,guardianproject/haven,https://github.com/guardianproject/haven,5964,1482,36,4,1,5,4554
0,Y3Vyc29yOjMwNg==,antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,5943,2545,0,2.0,1.0,4.0,274
0,Y3Vyc29yOjMwNw==,Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,5927,1532,1,2.0,1.0,4.0,4633
0,Y3Vyc29yOjMwOA==,singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,5909,2548,0,3.0,1.0,2.0,2620
0,Y3Vyc29yOjMwOQ==,zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,5895,1337,0,5.0,1.0,1.0,2703
0,Y3Vyc29yOjMxMA==,checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,5890,2760,100,3.0,1.0,7.0,
0,Y3Vyc29yOjMxMQ==,daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,5889,2516,3,0.5,1.0,1.0,380
0,Y3Vyc29yOjMxMg==,lenve/VBlog,https://github.com/lenve/VBlog,5882,1181,0,4,1,5,781
0,Y3Vyc29yOjMxMw==,wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,5876,1971,9,3.0,1.0,6.5,12561
0,Y3Vyc29yOjMxNA==,google/closure-compiler,https://github.com/google/closure-compiler,5872,2531,0,5,1,6,293826
0,Y3Vyc29yOjMxNQ==,KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,5852,507,0,3,1,3,6808
0,Y3Vyc29yOjMxNg==,aa112901/remusic,https://github.com/aa112901/remusic,5849,1823,0,3,1,3,47786
0,Y3Vyc29yOjMxNw==,smuyyh/BookReader,https://github.com/smuyyh/BookReader,5847,1691,0,2,1,2,30918
0,Y3Vyc29yOjMxOA==,NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,5834,3145,3,3.0,1.0,4.0,7106
0,Y3Vyc29yOjMxOQ==,signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,5822,2659,0,3.0,1.0,3.5,36084
0,Y3Vyc29yOjMyMA==,NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,5816,3119,3,4,1,5,12252
0,Y3Vyc29yOjMyMQ==,wildfirechat/server,https://github.com/wildfirechat/server,5815,788,35,4,1,6,133787
0,Y3Vyc29yOjMyMg==,springside/springside4,https://github.com/springside/springside4,5801,3314,3,2,1,4,12842
0,Y3Vyc29yOjMyMw==,processing/processing,https://github.com/processing/processing,5781,2978,48,2.0,1.0,3.0,110008
0,Y3Vyc29yOjMyNA==,google/j2objc,https://github.com/google/j2objc,5753,2607,38,1.0,1.0,5.0,
